// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B4406E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
46467		11.773678	1.947838	1.683916	0.594433	-0.750902	0.393905	-1.409424	0.322754	-0.451660
46468		14.208847	1.668318	2.814674	0.457866	-0.828663	0.400712	-1.409424	0.320557	-0.438477
46469		14.895062	0.827152	5.366236	0.769754	-0.792288	0.390362	-1.418457	0.327148	-0.432373
46470		13.843818	0.853844	6.412629	0.908734	-0.838905	0.337370	-1.420654	0.322754	-0.423584
46471		14.100926	1.795339	5.585283	0.406016	-0.995576	0.037459	-1.418457	0.322754	-0.408447
46472		14.654171	2.697207	4.494222	0.036697	-0.720360	-0.229934	-1.429199	0.313965	-0.412598
46473		12.733760	3.955811	5.060021	-0.216396	-0.095313	-0.239155	-1.422607	0.316162	-0.408447
46474		9.389682	3.410997	3.751419	-0.728337	0.047370	-0.146288	-1.429443	0.320557	-0.404297
46475		8.139328	1.143390	0.876825	-0.996071	-0.262721	-0.038530	-1.431396	0.311523	-0.397461
46476		7.637906	-1.213315	-1.705712	-1.248943	-0.425858	0.143121	-1.431641	0.318115	-0.384766
46477		6.253380	-3.788931	-4.083449	-1.364017	-0.641283	0.440064	-1.434570	0.338135	-0.365967
46478		5.037939	-5.478605	-4.623531	-0.809757	-1.158508	0.731625	-1.437012	0.344727	-0.351074
46479		5.531262	-5.287745	-2.899537	-0.233710	-1.761677	0.890772	-1.439697	0.353516	-0.321045
46480		7.267680	-4.028681	-0.770447	-0.490815	-2.029777	0.780330	-1.451416	0.368896	-0.289307
46481		9.316464	-2.988693	0.035285	-1.177268	-1.856813	0.446416	-1.447510	0.377686	-0.259277
46482		10.952451	-2.227062	0.408552	-1.391976	-1.481977	0.123275	-1.454346	0.382080	-0.240234
46483		12.285204	-1.663344	0.652240	-1.209151	-1.157481	-0.080249	-1.461182	0.384277	-0.216553
46484		12.621415	-1.152645	0.997747	-0.853885	-0.951831	-0.193769	-1.463379	0.379639	-0.201416
46485		12.181967	-0.977997	0.671476	-0.504804	-0.798889	-0.243785	-1.463379	0.379639	-0.188477
46486		10.742364	-0.474097	0.723575	-0.155416	-0.689297	-0.191847	-1.474365	0.379639	-0.175537
46487		9.378092	0.019835	0.335451	-0.003111	-0.775666	-0.055338	-1.474365	0.377441	-0.162598
46488		8.006368	0.297537	0.352169	-0.046513	-0.933337	0.129843	-1.470215	0.377441	-0.147461
46489		7.027092	0.258568	0.983264	-0.212794	-1.228970	0.307816	-1.474854	0.386230	-0.128174
46490		6.886977	0.065938	1.369662	-0.455830	-1.520626	0.421864	-1.477539	0.390625	-0.096191
46491		7.373934	-0.351051	1.197507	-0.803071	-1.714616	0.410885	-1.479980	0.397217	-0.076904
46492		8.317066	-0.781662	0.512952	-1.142978	-1.757660	0.347028	-1.480469	0.406006	-0.049072
46493		9.025257	-1.381491	-0.222281	-1.492659	-1.665530	0.206367	-1.478760	0.405762	-0.010254
46494		9.852940	-2.032973	-0.977483	-1.623840	-1.564922	0.090219	-1.483398	0.405762	0.020020
46495		10.072177	-2.365924	-1.051960	-1.569209	-1.408286	-0.039663	-1.481445	0.412354	0.043457
46496		10.542969	-2.962296	-1.183039	-1.310436	-1.249254	-0.168621	-1.481445	0.403564	0.069580
46497		10.186439	-3.105803	-0.788284	-1.103824	-1.107956	-0.236885	-1.485840	0.403320	0.084717
46498		10.665870	-2.791071	-0.856704	-0.887557	-1.087233	-0.179091	-1.488281	0.403320	0.110596
46499		10.051334	-2.389119	-0.441875	-0.603678	-1.002368	-0.103930	-1.486084	0.396729	0.121582
46500		9.161091	-1.979543	0.623562	-0.325833	-1.025939	-0.040262	-1.484131	0.403320	0.140869
46501		9.227579	-1.539743	0.920674	-0.174080	-1.142785	0.024401	-1.482178	0.401123	0.158203
46502		9.300133	-1.071154	0.905507	-0.242470	-1.214338	0.089342	-1.475830	0.405518	0.175293
46503		9.420184	-1.288224	0.603490	-0.394984	-1.217584	0.105927	-1.473877	0.403076	0.201172
46504		9.609896	-1.091374	0.443967	-0.585284	-1.103473	0.075888	-1.476318	0.407471	0.218262
46505		9.648815	-1.098009	0.183428	-0.856106	-0.945492	0.038723	-1.476318	0.405273	0.235596
46506		9.599370	-0.788690	0.239014	-1.149949	-0.775960	0.006106	-1.474121	0.405273	0.248779
46507		9.463838	-0.963404	0.133195	-1.389356	-0.648565	-0.023487	-1.471924	0.398682	0.268311
46508		9.306338	-1.142710	-0.004757	-1.503473	-0.605601	-0.038794	-1.465332	0.389648	0.283691
46509		9.286567	-1.289012	-0.520775	-1.560394	-0.632335	-0.043641	-1.469971	0.391846	0.296631
46510		9.366869	-1.630719	-1.302295	-1.564847	-0.677151	-0.021290	-1.467773	0.389648	0.318115
46511		9.274195	-1.052726	-1.544810	-1.504999	-0.729436	0.005115	-1.469971	0.380615	0.337891
46512		9.293411	-1.122481	-1.921102	-1.540191	-0.801249	-0.000480	-1.465576	0.376221	0.355225
46513		9.555749	-1.382957	-2.533448	-1.464891	-0.833803	-0.013125	-1.461182	0.371826	0.372559
46514		9.511980	-1.489155	-2.526175	-1.345280	-0.775148	-0.036961	-1.465576	0.367432	0.385742
46515		9.251525	-1.518914	-2.364794	-1.292765	-0.732728	-0.072560	-1.461426	0.364990	0.403076
46516		9.088688	-1.411943	-2.070958	-1.271984	-0.694749	-0.107757	-1.452637	0.362793	0.424805
46517		9.070842	-1.266150	-1.750711	-1.238128	-0.703686	-0.123325	-1.457031	0.354004	0.437988
46518		9.231267	-1.002297	-1.474048	-1.187265	-0.741914	-0.130046	-1.454834	0.349365	0.453125
46519		9.367922	-0.734314	-1.179217	-1.143913	-0.784714	-0.147215	-1.452393	0.333984	0.466553
46520		9.370976	-0.645448	-1.086847	-1.072594	-0.857011	-0.177084	-1.445801	0.331787	0.481689
46521		9.485666	-0.612540	-1.317476	-0.971469	-0.916970	-0.214235	-1.439453	0.329346	0.507813
46522		9.428216	-0.723462	-1.648378	-0.898682	-0.940201	-0.264667	-1.437256	0.322754	0.523193
46523		9.316465	-0.925743	-1.815257	-0.849005	-0.935457	-0.313060	-1.434814	0.307129	0.540771
46524		9.344130	-1.167039	-1.804020	-0.848661	-0.931314	-0.352903	-1.432373	0.300537	0.549561
46525		9.440169	-1.537073	-1.502357	-0.824845	-0.910616	-0.376753	-1.425781	0.291748	0.571533
46526		9.493216	-1.462280	-1.182507	-0.765956	-0.904604	-0.380218	-1.423584	0.284912	0.586914
46527		9.606151	-1.464849	-1.138226	-0.678425	-0.922875	-0.384901	-1.421387	0.278320	0.600098
46528		9.900592	-1.279013	-1.120096	-0.583012	-0.902134	-0.397922	-1.414551	0.262695	0.622070
46529		10.002539	-0.826306	-1.131385	-0.553601	-0.850668	-0.400807	-1.410156	0.258301	0.637207
46530		9.918346	-0.599618	-1.323908	-0.577277	-0.804124	-0.402303	-1.407959	0.253906	0.650391
