// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B44073
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
46467		-4.508500	-3.376015	9.540359	-0.148843	2.957175	0.681232	1.149414	-0.600342	-0.758789
46468		-5.205417	-4.488001	9.197664	-0.115863	3.462449	0.966089	1.169434	-0.613281	-0.709229
46469		-6.938911	-4.256492	9.149859	-0.072366	3.864190	1.195497	1.198242	-0.628174	-0.666016
46470		-4.742689	-3.671709	10.859862	-0.170490	4.563723	1.550047	1.218506	-0.651855	-0.601563
46471		-6.857620	-3.300055	9.203351	-0.229694	5.345001	1.859467	1.232178	-0.668945	-0.539063
46472		-13.605307	-2.386075	7.393897	-0.050997	5.380764	1.847530	1.254639	-0.690430	-0.472412
46473		-14.701731	-1.027657	8.330584	-0.024458	5.173613	1.700629	1.263916	-0.711914	-0.407715
46474		-14.664741	-0.433034	10.442561	-0.034199	5.110099	1.518376	1.275635	-0.733154	-0.341064
46475		-12.074273	-2.141197	11.640137	-0.157531	5.236784	1.401149	1.284668	-0.743896	-0.272461
46476		-12.314671	-4.382162	11.428001	-0.374520	5.363723	1.426380	1.283203	-0.763184	-0.203613
46477		-14.811026	-4.989756	11.642866	-0.485742	5.383925	1.617004	1.285645	-0.771729	-0.135010
46478		-13.590182	-5.069560	10.675639	-0.699519	5.280049	1.678872	1.273438	-0.797607	-0.066162
46479		-14.325054	-5.823461	9.820668	-0.938431	5.133088	1.881748	1.267578	-0.814697	-0.010498
46480		-15.868026	-6.276687	8.307984	-1.116011	4.782220	2.098368	1.250977	-0.838623	0.043457
46481		-13.144828	-4.530845	5.107478	-0.980287	4.256799	2.230983	1.230225	-0.866699	0.082275
46482		-16.068999	-1.304654	9.670268	-1.071368	2.810825	2.088541	1.217773	-0.886230	0.108154
46483		-15.646051	-5.535129	12.144169	-1.364599	1.117887	1.582934	1.209473	-0.896973	0.108398
46484		-10.545364	-8.280324	10.220556	-0.954138	0.036245	1.272091	1.194336	-0.905762	0.099854
46485		-6.513115	-4.817961	9.684474	-0.474837	-0.868162	0.734128	1.196777	-0.910156	0.082764
46486		-1.093617	-2.205708	8.123331	-0.533818	-1.048254	0.046309	1.200928	-0.907959	0.070068
46487		-1.082394	-2.868518	6.959467	-0.723154	-1.057707	-0.593737	1.211182	-0.886230	0.054688
46488		0.201660	-4.295151	5.935051	-0.647389	-0.986765	-1.067470	1.221680	-0.875488	0.041748
46489		0.425963	-4.598120	5.986122	-0.288714	-0.891598	-1.332627	1.236328	-0.853760	0.030762
46490		-0.693806	-3.394269	6.434381	0.003751	-0.837773	-1.462017	1.246582	-0.834229	0.017578
46491		-3.383362	-1.606643	6.358909	0.085513	-1.070765	-1.539713	1.263184	-0.812500	0.002441
46492		-4.728648	0.311967	6.624613	-0.090185	-1.541262	-1.580648	1.277588	-0.782227	-0.015137
46493		-5.273136	0.999205	6.325305	-0.487023	-2.083749	-1.542927	1.287598	-0.762695	-0.051758
