// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B45AE2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
46467		12.923084	1.286529	2.661046	0.724834	0.662134	0.270130	-1.204590	-0.340576	-0.436768
46468		12.623069	2.989569	3.419748	0.549056	0.482999	0.369211	-1.194580	-0.340332	-0.448730
46469		12.306194	4.166034	3.020829	0.268694	0.339486	0.383133	-1.200439	-0.330811	-0.448975
46470		11.980967	3.486543	2.584213	0.010305	0.449749	0.320167	-1.209717	-0.325684	-0.449951
46471		11.567518	2.424223	3.096409	-0.048785	0.632998	0.290805	-1.204346	-0.329590	-0.460205
46472		10.707632	2.012381	4.020262	-0.143570	0.601696	0.289782	-1.191895	-0.318115	-0.471191
46473		10.200012	1.701719	4.794414	-0.244052	0.522056	0.319097	-1.199951	-0.312988	-0.471680
46474		9.925504	0.951999	4.905303	-0.321554	0.396143	0.370695	-1.196289	-0.303711	-0.473877
46475		9.754138	0.260180	4.418280	-0.257952	0.291809	0.409531	-1.186768	-0.298584	-0.489502
46476		8.943537	0.453962	4.527345	-0.124209	0.367575	0.391685	-1.191895	-0.289551	-0.493408
46477		7.249852	0.864265	4.363597	-0.129630	0.432940	0.304844	-1.195313	-0.294189	-0.499023
46478		5.850263	0.955355	4.489725	-0.084116	0.380338	0.215110	-1.189209	-0.281982	-0.497803
46479		5.432747	0.760619	4.630178	-0.023431	0.259775	0.149664	-1.191895	-0.273193	-0.497070
46480		6.011288	1.073896	4.686275	0.039478	0.128340	0.135129	-1.189453	-0.284424	-0.504639
46481		7.190974	1.530565	4.615716	0.013360	0.022596	0.174124	-1.199463	-0.275635	-0.510498
46482		8.399267	1.984459	4.025561	-0.021205	-0.044739	0.262047	-1.191406	-0.273193	-0.506104
46483		9.422667	2.187323	3.557429	-0.069613	-0.034216	0.371998	-1.194824	-0.268066	-0.505859
46484		10.026200	1.982994	3.421603	-0.144298	-0.027271	0.463290	-1.189209	-0.261719	-0.509521
46485		9.981227	1.506829	3.155680	-0.232989	-0.025360	0.480142	-1.200684	-0.251953	-0.500977
46486		9.754850	0.702922	3.152094	-0.334486	-0.048093	0.434965	-1.196533	-0.247314	-0.503662
46487		9.317626	-0.133444	3.145883	-0.409306	-0.086625	0.319390	-1.200439	-0.244629	-0.507568
46488		8.869739	-0.653113	3.113666	-0.424936	-0.215693	0.161042	-1.193359	-0.239502	-0.505371
46489		8.699744	-0.598230	3.047603	-0.405214	-0.334074	-0.011049	-1.199463	-0.236816	-0.495361
46490		8.490490	-0.287489	2.706350	-0.394997	-0.357201	-0.142667	-1.202393	-0.234131	-0.500244
46491		8.463947	0.122361	2.632612	-0.382855	-0.291134	-0.213496	-1.203369	-0.235352	-0.492432
46492		8.621799	0.414755	2.593796	-0.348597	-0.260617	-0.209700	-1.204102	-0.242188	-0.493164
46493		8.655540	0.648483	2.480803	-0.317124	-0.235679	-0.185094	-1.201660	-0.234619	-0.488281
46494		8.828691	1.048562	2.427462	-0.285423	-0.245286	-0.143938	-1.211670	-0.233398	-0.490967
46495		8.986442	1.280106	2.562955	-0.324123	-0.276258	-0.129989	-1.206543	-0.233643	-0.485107
46496		9.133198	1.044913	2.599224	-0.399391	-0.317176	-0.136752	-1.210693	-0.234863	-0.484131
46497		9.349081	0.501055	2.463543	-0.444017	-0.350817	-0.144316	-1.218750	-0.237061	-0.477051
46498		9.242891	0.353170	2.204221	-0.439742	-0.318758	-0.160316	-1.213867	-0.229492	-0.475098
46499		9.038866	-0.079664	2.367501	-0.425058	-0.257226	-0.168067	-1.222168	-0.239746	-0.474121
46500		8.782188	-0.254824	2.352229	-0.367956	-0.242382	-0.173612	-1.205811	-0.230469	-0.471191
46501		8.738100	-0.065766	2.498052	-0.299552	-0.251568	-0.178957	-1.209717	-0.247314	-0.472656
46502		8.436186	0.249443	2.427515	-0.274664	-0.230490	-0.180601	-1.215576	-0.231445	-0.469238
46503		7.889640	0.577726	2.642353	-0.237939	-0.183373	-0.170997	-1.211182	-0.235352	-0.465576
46504		7.881165	0.829511	2.983985	-0.237766	-0.233607	-0.143192	-1.210938	-0.236572	-0.468994
46505		7.982618	1.011491	2.829980	-0.311438	-0.366360	-0.139688	-1.217285	-0.241699	-0.464111
46506		8.421462	1.117627	2.523970	-0.341689	-0.435687	-0.128194	-1.217285	-0.236328	-0.459717
46507		8.736399	1.029740	2.279502	-0.372764	-0.441336	-0.127095	-1.210205	-0.233154	-0.438965
46508		9.067949	0.820962	2.024642	-0.401121	-0.448825	-0.133632	-1.222656	-0.242188	-0.451172
46509		9.220535	0.513951	1.716305	-0.426369	-0.449127	-0.144968	-1.222900	-0.235840	-0.440186
46510		9.399226	0.340351	1.426046	-0.424857	-0.431124	-0.170469	-1.223389	-0.242432	-0.445068
46511		9.676824	0.195225	1.219454	-0.421380	-0.395714	-0.174475	-1.225342	-0.245361	-0.439209
46512		9.791001	0.123529	1.103497	-0.396513	-0.353685	-0.179408	-1.231934	-0.242188	-0.435059
46513		9.845594	0.299098	1.084407	-0.360157	-0.301820	-0.170470	-1.223877	-0.238037	-0.426270
46514		9.958971	0.468312	1.135674	-0.349798	-0.246980	-0.154844	-1.232910	-0.242920	-0.421875
46515		9.942694	0.544398	1.054631	-0.344961	-0.190439	-0.133278	-1.231934	-0.242676	-0.427246
46516		9.948720	0.591486	1.002510	-0.345464	-0.121419	-0.115000	-1.235352	-0.243652	-0.424805
46517		9.950324	0.511145	0.939613	-0.349511	-0.056918	-0.089906	-1.236572	-0.243652	-0.427979
46518		9.782853	0.398598	0.861587	-0.350670	0.011008	-0.065358	-1.232422	-0.245605	-0.424805
46519		9.640635	0.437384	0.900846	-0.336343	0.054334	-0.034926	-1.234863	-0.250488	-0.429688
