// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B4406E
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
24843		-2.761140	-11.666976	12.591800	0.969069	-1.230619	-1.480327	-1.490967	-0.043701	0.795898
24844		3.012134	-14.365367	13.095471	0.249666	-0.121458	-0.188906	-1.497559	-0.037109	0.795654
24845		8.035773	-8.487802	9.877086	-0.194273	1.067750	1.060504	-1.510986	-0.025879	0.777832
24846		5.035303	-4.659065	7.675868	-0.571262	1.920340	0.982516	-1.532959	-0.012695	0.747070
24847		1.380583	-1.502641	6.093209	-0.434019	2.131255	0.718484	-1.545898	-0.003662	0.718750
24848		0.951021	1.236719	4.705154	0.190785	2.356593	0.420976	-1.574219	-0.001465	0.694580
24849		1.481798	3.289514	3.565528	0.785149	2.672992	0.292415	-1.596191	0.018311	0.652832
24850		2.820729	4.791511	3.842847	1.267947	2.936264	0.320057	-1.624756	0.031738	0.606934
24851		5.119453	5.556893	4.568141	1.507694	3.215557	0.529982	-1.646729	0.051758	0.560791
24852		7.153037	5.728091	4.618223	1.480739	3.405049	0.751236	-1.670898	0.073975	0.512451
24853		8.659390	5.613998	3.758907	1.229443	3.531177	0.916390	-1.697266	0.093994	0.457764
24854		10.359658	4.583653	3.120157	0.628022	3.508030	1.030925	-1.721436	0.116211	0.407227
24855		13.158213	2.228594	1.247144	-0.549487	3.543429	1.127009	-1.740967	0.129639	0.354980
24856		18.174460	-1.322650	-2.090312	-1.682431	3.530752	1.279405	-1.762939	0.149414	0.308838
24857		28.606783	-6.428277	-5.457481	-1.871829	3.273651	1.836599	-1.776611	0.182861	0.260498
24858		36.701761	-11.287332	-7.194310	-1.139884	3.532721	2.414303	-1.787842	0.220703	0.190186
24859		28.243276	-12.498425	-7.221536	0.948034	4.426233	1.323553	-1.796387	0.238525	0.107666
24860		22.666294	-11.523747	-6.765827	3.784273	3.754112	0.423787	-1.798340	0.256348	0.033691
24861		22.992161	-7.691758	-6.429060	4.953959	3.333535	0.596975	-1.808838	0.263184	-0.041992
24862		24.969265	-2.382327	-4.370334	5.164349	3.420785	1.033747	-1.800049	0.287842	-0.126709
24863		26.782927	1.009132	-1.820731	4.550266	3.490928	0.913531	-1.799561	0.290283	-0.208740
24864		28.031347	1.756274	-1.142943	3.188941	3.704949	0.652769	-1.777344	0.299316	-0.284180
24865		25.546350	-0.913278	-2.308499	1.528206	4.002216	0.515670	-1.761230	0.299561	-0.368164
24866		21.781342	-4.076046	-3.303713	0.834422	4.092901	0.414062	-1.736816	0.306396	-0.450195
24867		18.298511	-5.419845	-3.241891	0.749501	3.648887	0.461680	-1.709961	0.302246	-0.516602
24868		16.232861	-5.115037	-2.408370	0.749602	2.907598	0.414289	-1.680908	0.302490	-0.572266
24869		13.815266	-3.857413	-1.822967	0.569371	2.380138	0.392223	-1.658691	0.300293	-0.615234
24870		10.927967	-2.201063	-2.404909	0.373596	1.978274	0.331309	-1.641113	0.302734	-0.651855
24871		7.879989	-0.511932	-3.296905	0.295454	1.565228	0.212278	-1.614258	0.296143	-0.685791
24872		4.830376	0.780337	-3.621143	0.257701	0.960401	0.244425	-1.601074	0.296387	-0.692139
24873		1.764852	1.474544	-3.584845	0.044032	0.203475	0.288103	-1.594727	0.300781	-0.703125
24874		-0.884277	1.459319	-3.605459	-0.234850	-0.546583	0.442770	-1.594971	0.305176	-0.690186
24875		-3.550792	1.296747	-4.098411	-0.459694	-1.108745	0.712051	-1.586670	0.318359	-0.675293
24876		-6.657426	1.309596	-4.853601	-0.808237	-1.545455	1.074185	-1.587402	0.333984	-0.641357
24877		-11.757498	0.300802	-7.158840	-1.284553	-2.446579	1.315587	-1.588623	0.364746	-0.588379
24878		-18.973987	-0.849716	-11.761488	-1.919872	-4.438173	0.792261	-1.620361	0.377686	-0.496094
24879		-17.873604	0.603206	-12.066855	-2.902571	-5.833921	-1.052363	-1.656006	0.373047	-0.384277
24880		-6.429387	3.995090	-12.781620	-1.807992	-6.177351	-2.344116	-1.693115	0.334961	-0.280029
24881		2.968083	2.626582	-10.780868	1.213515	-5.500745	-2.435116	-1.708008	0.292725	-0.199219
24882		9.198730	-2.750353	-1.689571	1.846765	-3.995707	-1.768917	-1.720703	0.263672	-0.135986
24883		15.093353	-5.631598	8.924566	0.598429	-2.007177	-0.883103	-1.722900	0.261475	-0.123047
24884		22.863755	-8.470745	20.517202	1.130876	1.290684	-0.020006	-1.718262	0.259277	-0.168213
24885		29.587357	-13.137380	30.678894	3.981571	5.092474	1.000028	-1.704346	0.268555	-0.284912
24886		20.678920	-10.863038	28.883916	3.839011	4.787954	1.907825	-1.685059	0.299805	-0.343750
24887		11.446978	-5.727112	15.655783	2.165442	0.755582	2.367134	-1.675049	0.333008	-0.348877
24888		1.128252	-2.294833	10.158851	0.887332	-0.361469	2.565733	-1.671875	0.379639	-0.341553
24889		-8.626994	-1.552455	7.589321	-0.002801	-0.996342	2.366386	-1.670898	0.417236	-0.327393
24890		-14.497970	6.117831	-7.161191	-1.287512	-0.513274	2.435108	-1.661377	0.474854	-0.318115
24891		-12.837004	19.461572	-42.422719	-7.788167	1.853631	1.327446	-1.660156	0.505859	-0.306152
24892		-9.755594	28.271728	-29.342865	-7.699019	0.794229	-2.616236	-1.685791	0.468018	-0.260010
24893		4.245448	26.712431	-13.593946	3.607985	-1.070134	-3.766927	-1.707275	0.379395	-0.296631
24894		22.948011	20.291288	89.262674	23.368713	2.106070	-0.622100	-1.705811	0.350586	-0.362549
24895		21.696617	-8.844314	-14.324508	-20.891419	-6.472895	2.003289	-1.741699	0.454102	-0.052979
24896		37.421505	-16.918502	-73.957975	-21.298465	-9.029449	-0.095122	-1.757324	0.436035	0.035645
24897		31.641202	-14.234471	-31.754431	5.025805	9.399822	-1.130821	-1.748291	0.405518	-0.174805
24898		5.134469	-15.018739	2.253780	7.561142	4.439232	-1.080794	-1.745117	0.378906	-0.193359
24899		0.888131	-13.086209	11.673142	-1.603212	-3.769211	0.188842	-1.755127	0.398682	-0.105713
24900		3.669370	-6.398128	-13.189468	-3.480488	-3.203766	1.278244	-1.749512	0.411865	-0.036865
24901		4.537975	2.182276	-19.477995	-0.590526	-2.724088	-1.224249	-1.760010	0.376221	0.017822
24902		14.088220	2.199847	-14.582480	2.719115	-3.924353	-2.911232	-1.757080	0.327393	0.083984
24903		27.758596	-6.038747	-4.660627	3.720271	-3.362256	-2.078104	-1.756592	0.293945	0.134521
24904		31.853501	-13.141818	-1.202141	1.226967	-3.952284	-0.848702	-1.739502	0.287109	0.208252
24905		24.771651	-10.223377	-6.603859	0.602680	-4.103587	-0.650879	-1.722168	0.271729	0.269287
24906		19.263878	-6.100375	-6.101680	1.298582	-3.658648	-1.096814	-1.708984	0.251465	0.323975
24907		20.683419	-4.359747	-1.481035	1.500454	-3.499359	-1.129464	-1.693848	0.242676	0.369629
24908		22.230798	-3.062259	1.924416	1.479482	-3.289566	-0.565370	-1.667969	0.238281	0.421631
24909		20.261217	-1.836982	2.941999	0.585106	-3.302297	0.173545	-1.646484	0.242432	0.471436
24910		17.198297	-0.451894	3.301782	-0.098699	-3.146282	0.163319	-1.622803	0.238037	0.514893
24911		15.891650	2.463610	6.734895	0.011830	-3.384468	-0.188641	-1.594727	0.233643	0.569336
24912		14.301726	5.411814	12.327936	-1.183963	-3.796832	-0.088406	-1.566406	0.215820	0.624023
24913		10.999454	6.951472	13.304473	-3.478874	-3.842664	-0.193275	-1.541992	0.187012	0.685303
24914		8.232790	6.461592	9.226976	-5.746702	-3.485635	-0.338267	-1.519043	0.131348	0.736816
24915		6.859691	3.544636	4.991694	-6.452553	-2.618598	-0.890959	-1.504639	0.071533	0.773193
24916		6.535355	0.220835	4.794345	-5.532441	-1.250647	-1.371722	-1.492188	0.002930	0.788086
24917		6.203305	-1.069493	6.725047	-3.868240	0.067879	-1.379271	-1.486572	-0.036865	0.780518
24918		3.276706	-1.396451	7.995666	-1.933711	-0.040479	-1.302970	-1.483643	-0.070313	0.783691
24919		3.002905	-6.493297	8.723602	-0.927281	-0.488224	-1.170708	-1.480957	-0.090088	0.786377
24920		4.081222	-14.545151	9.144907	-1.396632	0.425137	-0.379774	-1.493408	-0.105713	0.767334
24921		4.133464	-16.569659	8.696859	-1.774344	1.523931	0.663675	-1.508545	-0.110107	0.748047
24922		2.968779	-11.166567	8.354442	-1.354234	2.180794	1.288403	-1.530273	-0.096680	0.712891
24923		0.536145	-5.377048	7.416282	-0.488215	2.304153	1.302492	-1.548096	-0.081299	0.682129
24924		-0.783083	-0.612962	4.321324	0.037191	2.341465	1.009072	-1.568115	-0.056885	0.650879
24925		0.353859	2.502089	2.131284	0.446842	2.461197	0.599305	-1.592041	-0.052490	0.618164
24926		2.220518	3.357569	3.082375	0.639107	2.706843	0.491864	-1.613770	-0.036865	0.578857
24927		4.453629	2.779036	4.443177	0.575020	2.937390	0.567837	-1.631348	-0.025635	0.541504
24928		6.747095	1.778844	4.820283	0.439678	3.083207	0.777790	-1.655518	-0.010254	0.500000
24929		8.689512	0.339203	3.434469	0.138619	3.233404	0.961007	-1.681885	0.009766	0.451660
24930		12.061849	-1.516172	0.075463	-0.470608	3.287329	1.150770	-1.705811	0.027588	0.409912
24931		18.977137	-4.125703	-3.491925	-0.626464	2.963020	1.720683	-1.719482	0.060791	0.365723
24932		30.264416	-8.535145	-6.622776	0.171223	2.493474	2.992166	-1.731689	0.123047	0.322998
24933		32.133013	-11.492529	-7.429894	1.320096	3.017777	3.584064	-1.743896	0.185059	0.269287
24934		22.511405	-10.713435	-5.661585	3.362040	3.698146	2.313930	-1.748779	0.229492	0.203369
24935		21.047566	-9.079143	-3.583719	5.678049	2.936037	1.165038	-1.757813	0.258545	0.135498
24936		25.976248	-5.036737	-3.148464	6.085808	2.846017	0.787162	-1.766602	0.285156	0.061279
24937		28.838969	0.457050	-1.917443	5.065845	3.286377	1.332472	-1.766846	0.312012	-0.012695
24938		30.185234	2.261015	0.115317	3.895605	3.456961	1.378545	-1.760254	0.341064	-0.091064
24939		29.852542	-0.793944	0.466474	2.633164	3.554972	1.105298	-1.755615	0.352295	-0.171143
24940		28.172032	-4.904950	-1.643383	1.367302	3.647650	0.970288	-1.733643	0.374756	-0.240479
24941		24.981578	-7.808765	-3.500860	0.875597	3.538041	1.123552	-1.718018	0.383789	-0.318359
24942		21.772801	-8.281659	-4.440085	1.137716	3.284681	1.007036	-1.698242	0.397217	-0.383301
24943		18.653402	-5.236255	-3.678239	1.556498	2.981213	0.779300	-1.678223	0.406250	-0.443604
24944		15.493421	-1.209190	-2.456172	1.605043	2.659776	0.754630	-1.649414	0.406494	-0.501709
24945		12.223154	1.458919	-2.424569	1.382800	2.242157	0.637637	-1.626953	0.400146	-0.548584
24946		9.030737	3.405696	-2.939507	1.135170	1.821864	0.373202	-1.602539	0.395752	-0.591309
24947		5.879795	5.069294	-3.396383	0.798349	1.469770	0.228016	-1.580322	0.389160	-0.621338
24948		2.374881	6.076338	-3.534504	0.264426	1.027416	0.222803	-1.566895	0.385010	-0.631836
24949		-0.895049	5.954851	-3.766322	-0.391812	0.498314	0.246381	-1.556152	0.391602	-0.642578
24950		-4.202168	5.028618	-4.481810	-1.044298	-0.086598	0.198829	-1.549805	0.398193	-0.636230
24951		-6.633350	4.312218	-5.366695	-1.699844	-0.614196	0.149532	-1.548096	0.413818	-0.621582
24952		-8.731746	3.720663	-6.162987	-2.396441	-1.042545	0.060102	-1.551025	0.427002	-0.583252
24953		-11.530674	2.619642	-6.961732	-2.904333	-1.599079	-0.119316	-1.560303	0.435791	-0.544678
24954		-15.138267	0.770097	-8.591619	-3.123306	-2.421579	-0.331263	-1.578369	0.439941	-0.482422
24955		-16.346146	-1.586732	-9.323501	-3.077237	-3.218092	-1.067547	-1.600586	0.430908	-0.417725
24956		-10.872287	-1.528152	-11.058788	-1.428507	-3.421468	-2.182324	-1.633057	0.401855	-0.358887
24957		-2.318222	0.099969	-12.697261	1.831378	-3.584902	-2.549443	-1.651855	0.355225	-0.306152
24958		4.930407	-2.455901	-7.762702	3.790952	-3.478334	-1.679437	-1.675293	0.321777	-0.260010
24959		9.760771	-5.728461	0.250015	2.828971	-3.180982	-0.515374	-1.675537	0.314941	-0.212402
24960		14.384860	-8.064703	9.902713	0.462049	-2.122016	0.305180	-1.691406	0.328125	-0.182861
24961		22.716442	-11.322557	21.431332	-1.000031	0.529680	1.050348	-1.685303	0.354736	-0.213623
24962		31.412659	-13.445705	33.299378	1.964035	5.251573	1.071350	-1.665039	0.361816	-0.308594
24963		23.830567	-5.992535	23.945723	2.220511	2.561994	1.474507	-1.654541	0.381836	-0.334961
24964		14.094901	-3.843161	14.942057	0.933725	0.257565	2.084709	-1.644531	0.417236	-0.346680
24965		-1.598606	-6.348884	10.109653	1.366636	0.208914	1.415810	-1.648926	0.428467	-0.355469
24966		-15.185100	-4.733439	4.945553	3.423039	-1.075814	0.647173	-1.651611	0.441650	-0.345215
24967		-17.638321	9.323180	-22.353920	-2.288260	-0.672125	1.394302	-1.648438	0.479248	-0.335449
24968		-10.465402	15.789544	-46.911402	-7.864427	2.870549	-1.672714	-1.663330	0.463623	-0.315674
24969		2.007989	19.660644	-28.500915	-3.289896	-1.001254	-3.188863	-1.683594	0.406006	-0.314209
24970		45.669967	20.919441	74.459692	23.931721	1.814370	0.792826	-1.669189	0.390869	-0.432373
24971		28.376029	2.379555	11.596047	-10.621132	-3.980783	3.790655	-1.693359	0.485596	-0.202393
24972		18.948117	-5.118920	-63.290580	-15.349296	-9.498820	-0.570311	-1.711670	0.469727	-0.057617
24973		23.469099	-2.672145	-34.216088	-1.827807	5.001306	-2.499410	-1.713867	0.434570	-0.203125
24974		4.261807	-8.175376	-3.526130	3.447230	8.473448	-0.755579	-1.703369	0.408203	-0.312500
24975		-11.371243	-8.886660	12.661875	0.019936	-0.925795	-0.816591	-1.715088	0.412354	-0.228516
24976		-4.544656	-7.564097	-12.977303	-4.897918	-4.829218	0.069752	-1.729004	0.407715	-0.131348
24977		4.904838	-7.223829	-17.844208	-1.229344	-3.288257	-1.564055	-1.741699	0.372070	-0.072266
24978		19.372095	-10.199953	-13.124029	2.423744	-4.298042	-2.764934	-1.749756	0.325439	0.006592
24979		45.757027	-17.035041	-5.601041	2.881352	-5.035934	-0.235816	-1.735596	0.340576	0.090332
24980		40.978508	-15.367191	-5.724901	1.148716	-4.036795	0.953982	-1.727539	0.347168	0.146240
24981		20.581856	-9.460004	-9.442626	2.215613	-3.582269	-0.566074	-1.716797	0.336182	0.198486
24982		13.820448	-4.187717	-5.774429	2.813057	-3.815584	-0.989037	-1.701416	0.320557	0.246582
24983		15.721591	0.925579	-1.295393	2.628018	-4.064442	-0.840837	-1.682129	0.315918	0.307373
24984		18.259983	5.144732	1.498613	2.297159	-4.212473	-0.566212	-1.654053	0.313721	0.367920
24985		21.775912	7.647006	3.590526	0.979774	-3.907060	-0.259103	-1.634766	0.309082	0.422363
24986		23.380464	6.157474	4.918256	-0.641556	-3.287648	-0.095690	-1.615234	0.295898	0.472412
24987		20.406421	1.819521	8.185435	-1.842478	-3.376383	-0.081379	-1.593262	0.278076	0.524902
24988		14.650429	1.650748	12.012040	-3.894011	-3.696007	0.120859	-1.564941	0.255859	0.596924
24989		10.937909	4.561340	12.312230	-5.890513	-3.954213	0.327515	-1.536133	0.215820	0.665283
24990		9.330734	4.520159	8.384441	-7.278011	-3.465828	-0.114278	-1.508789	0.160400	0.723145
24991		7.949057	1.628478	2.227307	-7.187137	-2.225539	-0.685430	-1.498535	0.091553	0.750977
24992		6.323597	-0.668688	2.894357	-5.481600	-0.833371	-1.017034	-1.488281	0.033936	0.761475
24993		4.139918	-2.805250	10.939374	-3.535913	-0.087087	-1.139692	-1.487305	-0.003662	0.760254
24994		-1.088054	-6.125405	9.518289	-1.629035	-0.531152	-1.521355	-1.482178	-0.034668	0.767578
24995		-0.811792	-15.317232	10.203695	-0.898383	-0.301872	-1.385694	-1.485596	-0.067871	0.762207
24996		4.573733	-19.453182	11.279422	-1.211161	0.898930	0.085475	-1.496582	-0.061279	0.746582
24997		7.059425	-11.868714	9.388497	-1.154662	2.072157	1.290673	-1.516602	-0.041260	0.709229
24998		3.030004	-6.086992	6.599953	-1.072381	2.687766	1.425339	-1.536133	-0.025879	0.669922
24999		-0.679154	-1.242474	3.825473	-0.485757	2.663851	1.212591	-1.560303	-0.016846	0.643555
25000		-0.705594	2.593923	2.907515	0.451338	2.523398	0.735748	-1.577881	0.000977	0.601807
25001		1.021851	4.868691	3.981246	1.049255	2.624725	0.443824	-1.597656	0.011963	0.564697
25002		2.940075	5.680920	4.899654	1.012911	2.967815	0.340913	-1.621338	0.016357	0.525391
25003		4.980203	5.306862	4.709540	0.600435	3.181767	0.502136	-1.638916	0.036377	0.481445
25004		6.752142	3.492884	4.091030	0.342046	3.201439	0.750554	-1.667236	0.047607	0.433594
25005		8.186420	1.305251	3.512656	0.145794	3.260609	0.891732	-1.684814	0.067627	0.381104
25006		10.810726	-0.417474	1.834605	-0.363873	3.238988	1.042598	-1.702393	0.080811	0.339355
25007		16.025090	-2.451834	-1.868444	-0.916227	3.153000	1.380194	-1.724365	0.103027	0.297607
25008		24.670113	-5.933091	-5.429820	-0.679175	2.901654	2.098253	-1.736328	0.147461	0.253174
25009		33.336016	-10.163170	-6.816405	0.322008	2.894656	3.039021	-1.741455	0.196289	0.204346
25010		28.854539	-10.438114	-5.922781	1.623819	3.725939	2.452306	-1.754883	0.236328	0.127441
25011		23.706381	-8.665839	-4.143506	3.621555	3.494186	1.186325	-1.755127	0.260986	0.066406
25012		24.680359	-5.798936	-2.838036	4.647566	3.137061	0.558921	-1.761230	0.270020	-0.007080
25013		27.080959	-2.266405	-1.280735	4.106495	3.559246	0.894819	-1.759277	0.296631	-0.085449
25014		27.259934	-0.647327	0.250678	2.924986	3.758570	1.220205	-1.750000	0.308105	-0.165527
25015		26.458161	-1.658927	0.084201	1.799936	3.584252	0.958657	-1.736816	0.325928	-0.239258
25016		24.250297	-4.336433	-1.883991	0.949712	3.543737	0.757840	-1.723389	0.332764	-0.306152
25017		20.675265	-6.589018	-3.351980	1.090069	3.561581	0.731254	-1.707764	0.339600	-0.373047
25018		17.620518	-6.962830	-3.241452	1.383603	3.130920	0.681648	-1.683350	0.344238	-0.437744
25019		16.264871	-5.078081	-2.205760	1.218591	2.394179	0.577307	-1.663330	0.351074	-0.478760
25020		15.075413	-3.180004	-1.924099	1.090784	1.881352	0.509869	-1.643555	0.353516	-0.521729
25021		12.938715	-1.512199	-2.049887	1.029750	1.667177	0.403138	-1.627686	0.349121	-0.558105
25022		10.325739	0.011247	-2.437198	0.752378	1.492169	0.367137	-1.607910	0.349121	-0.590088
25023		7.389830	0.884953	-2.943565	0.423525	1.145172	0.372947	-1.590088	0.344971	-0.611572
25024		4.859277	1.810402	-3.549978	0.133282	0.694606	0.427116	-1.579346	0.353760	-0.618164
25025		1.915533	2.226497	-4.059208	0.001117	0.198925	0.490730	-1.568359	0.358398	-0.631104
25026		-0.723075	2.765295	-4.012721	-0.172754	-0.333490	0.589060	-1.562256	0.371582	-0.620605
25027		-3.603971	3.201517	-4.150622	-0.550331	-0.829089	0.688299	-1.551758	0.387207	-0.607910
25028		-6.484612	3.948063	-4.816143	-1.010555	-1.325762	0.709092	-1.563477	0.398193	-0.573730
25029		-10.159074	4.222072	-5.555072	-1.633127	-1.997886	0.621440	-1.564209	0.413574	-0.533203
25030		-14.470004	5.270059	-8.364072	-2.652658	-3.248165	0.279256	-1.589111	0.426514	-0.460693
25031		-15.102108	6.635261	-9.818490	-4.154851	-4.126727	-0.621215	-1.607178	0.426270	-0.374512
25032		-8.811558	3.463715	-9.097958	-2.956802	-4.216150	-1.971577	-1.635742	0.399414	-0.291992
25033		-1.505837	-2.146718	-8.999587	0.167251	-4.128222	-2.625072	-1.654785	0.357178	-0.228516
25034		4.727554	-9.089807	-4.942423	2.315147	-3.582350	-2.278310	-1.676025	0.317139	-0.177979
25035		10.755764	-12.687304	3.970597	1.638648	-2.894469	-0.938035	-1.682861	0.314697	-0.134766
25036		19.339415	-13.391243	19.642200	-1.315060	-1.308988	0.587389	-1.678955	0.330322	-0.124512
25037		35.131201	-18.360766	31.051716	-1.477165	4.417984	1.923642	-1.663818	0.368164	-0.229004
25038		29.888243	-13.350732	23.488272	3.826234	4.873596	2.359675	-1.646729	0.401611	-0.294434
25039		19.478583	-9.782194	13.612291	5.449447	0.989295	3.079927	-1.629639	0.432861	-0.335938
25040		2.727754	-10.025617	10.548370	5.008313	0.229114	2.453120	-1.621338	0.455078	-0.351807
25041		-12.184524	-5.407768	9.603234	3.891382	-1.099672	1.720683	-1.619873	0.479492	-0.345947
25042		-15.473140	9.338206	-29.466819	-3.717085	-0.376483	2.245453	-1.617188	0.534668	-0.317139
25043		-22.437963	24.033348	-45.088158	-10.652185	1.297294	-0.461926	-1.626465	0.541260	-0.267822
25044		-14.150771	34.461655	-34.876928	-6.632873	-1.079776	-4.328969	-1.659912	0.468018	-0.218750
25045		14.463377	23.415363	-1.037571	20.477772	0.027054	-2.712009	-1.653076	0.353027	-0.416016
25046		16.387736	28.043712	108.556180	6.924965	3.548722	2.874891	-1.669678	0.452637	-0.298096
25047		20.940975	-11.656388	-71.933300	-24.109120	-14.465067	1.658683	-1.693359	0.493896	0.039063
25048		54.786186	-11.827112	-54.260315	-5.660017	-0.517745	-1.079269	-1.698242	0.474121	-0.087646
25049		25.507940	-6.389653	-12.534899	7.518338	10.219873	-1.014800	-1.687500	0.443604	-0.241943
25050		4.475833	-11.764087	18.769758	0.217051	0.701988	-1.255213	-1.696289	0.425537	-0.178955
25051		2.469488	-9.839612	-5.755816	-4.661985	-4.018697	0.174588	-1.703857	0.443115	-0.104248
25052		1.121863	-3.435894	-15.445947	-2.770499	-1.576241	0.231541	-1.699707	0.438721	-0.062988
25053		3.804394	-1.619653	-13.950802	0.110857	-3.055925	-1.369835	-1.710449	0.405273	0.004639
25054		14.733828	-7.010719	-9.492646	2.229377	-3.886511	-1.879395	-1.709961	0.371826	0.059570
25055		27.570033	-14.659017	-3.967990	1.528144	-3.411221	-1.002725	-1.701660	0.367432	0.115723
