// General information: 
//  MT Manager version: 2021.0.0 
//  XDA version: 2021.0.0 build 5908 rev 109668 built on 2021-04-19
// Device information: 
//  DeviceId: 00B45AE2
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.6.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z
24843		-0.032003	4.271207	3.459727	-0.647679	-0.527401	0.858191	0.139648	1.210938	-0.678955
24844		-1.052477	5.180198	3.785633	-0.059916	-0.588937	0.834726	0.142822	1.211670	-0.674316
24845		-1.407377	5.474221	3.572478	0.056166	-0.580943	0.807019	0.148193	1.212402	-0.687012
24846		-1.062493	5.228295	3.320394	-0.000108	-0.618614	0.749170	0.154053	1.201904	-0.691895
24847		-0.630496	4.607335	2.306892	0.025549	-0.560948	0.637839	0.169922	1.207764	-0.688721
24848		-0.211624	3.915737	1.301858	0.158232	-0.372157	0.507105	0.166260	1.212646	-0.692383
24849		0.164771	2.689188	0.441916	0.291496	-0.115898	0.376367	0.170654	1.202393	-0.701172
24850		1.205474	0.682851	0.986489	0.450019	0.179016	0.209610	0.182617	1.195068	-0.700439
24851		2.864790	-1.477409	2.327287	0.554831	0.468064	-0.090212	0.175049	1.202637	-0.718506
24852		4.225221	-3.605694	2.660339	0.552219	0.717017	-0.504716	0.174072	1.196045	-0.735107
24853		6.919841	-6.295990	6.674314	0.724867	0.777529	-0.826716	0.172852	1.197266	-0.734375
24854		9.176534	-7.670805	11.830284	1.001162	0.139268	-0.980462	0.156006	1.188232	-0.752197
24855		6.648779	-10.534034	15.072260	0.254883	-0.484207	-1.223254	0.135498	1.189941	-0.747559
24856		-1.199983	-17.871111	14.723789	-2.123510	-0.494150	-1.447021	0.119385	1.203857	-0.730225
24857		-6.389002	-18.143710	9.327699	-2.062246	-0.016165	-1.213890	0.102295	1.221680	-0.704590
24858		-5.144763	-13.812646	9.527590	-0.852055	0.545429	-0.946850	0.086426	1.227051	-0.696045
24859		-2.352216	-15.549537	10.224409	-0.290736	0.658520	-0.821747	0.082764	1.222168	-0.690674
24860		0.519367	-16.795454	9.990709	-0.058010	0.768380	-0.519510	0.087158	1.229248	-0.691406
